id|tid|title|description|category|release_id|release_title|updateDate|addedDate|thumbnail
1|804|Aegis Redeemer|All tasks required for the implementation of the Aegis Redeemer gunship|Ships and Vehicles|42|3.15|1611811530000|1629867600000|/media/wi8f4yvv6qdw2r/source/Red1.jpg
2|874|Doctor, Nurse AI Behaviors|Adding more realistic behaviors and reactions for Doctors and Nurses|AI|42|3.15|1628669181000|1629867600000|/media/2zga7nu74hs3mr/source/Medical.jpg
3|864|Area 18 Hospital|Hospital interior located in the Area 18 landing zone|Locations|44|3.16|1628718431000|1629867600000|/media/6jonz01d8bnmbr/source/Area18.png
4|869|Asset Manager mobiGlas App |Adding the Asset Manager mobiGlas App to help players manage their belongings|Gameplay|42|3.15|1628708838000|1629867600000|/media/9pip04rt4e7j1r/source/Niknax.png
5|838|Behring S7 Ballistic Gatling|Creation and implementation of the new Behring S7 Ballistic Gatling ship weapon|Weapons and Items|42|3.15|1613010025000|1629867600000|/media/pi34b7bcq3kvor/source/Behring-S7-Ballistic-Gatling.png
6|837|Behring S7 Laser Cannon|Creation and implementation of the new Behring S7 Laser Cannon ship weapon|Weapons and Items|42|3.15|1613009997000|1629867600000|/media/li7hcgyvojidcr/source/Behring-S7-Laser-Cannon.png
7|808|Bombs|Players will have the ability to drop powerful bombs on targets from ships in atmosphere|Gameplay|42|3.15|1629850267000|1629867600000|/media/z4lsu1gi1ixaqr/source/CRUS_Starlifter_Promo_MOAB_SM01_PJ01_Grade-Squashed.jpg
8|797|Cave Entrances - Drive-In & Sinkhole|Adding two new entrances to planetary caves|Locations|41|3.13|1620256605000|1629867600000|/media/afokrxyug5jamr/source/NewCaveEntrances.jpg
9|820|Weapon Charge/Drain T0 - Tech| Creating the back-end tech required for implementing Weapon Charge/Drain|Gameplay|44|3.16|1621463690000|1629867600000|/media/1ilghweyoka9ir/source/TractorBeam_02_Wip_12_2020-Min.jpg
10|730|Object Push & Pull |Allow players to push and pull objects|Gameplay|41|3.13|1620256632000|1629867600000|/media/3rqqqehxhzu23r/source/NotSignedOff_Trolley.jpg
11|663|Planet - Crusader|The design, creation, and implementation of the Crusader gas giant|Locations|43|3.14|1628666647000|1629867600000|/media/muwfptj1gm1per/source/Crusader.jpg
12|801|Crusader Ares Starfighter Inferno|Implementing the Crusader Ares Starfighter Inferno into the game|Ships and Vehicles|42|3.15|1611811519000|1629867600000|/media/wxpcey7m0xyj1r/source/StarfighterInferno.jpg
13|802|Crusader Ares Starfighter Ion|Implementing the Crusader Ares Starfighter Ion into the game|Ships and Vehicles|42|3.15|1611811523000|1629867600000|/media/70gj1inip63c2r/source/StarfighterION.jpg
14|803|Crusader A2 Hercules Starlifter|All tasks required for the implementation of the Crusader A2 Hercules Starlifter gunship|Ships and Vehicles|42|3.15|1611811526000|1629867600000|/media/naejanws37upmr/source/A2.jpg
15|787|Crusader C2 Hercules Starlifter|Implementing the Crusader Hercules Starlifter C2 into the game|Ships and Vehicles|41|3.13|1621471051000|1629867600000|/media/435mfzob8dttbr/source/CRUS_Starlifter_Promo_Basic_Landed_MO01-Squashed.jpg
