id|uuid|slug|title|description|startDate|endDate|updateDate|addedDate|numberOfDisciplines|numberOfTeams|totalCount|card_id|project_ids
1|e9ca8399-4b63-5d21-9e67-3b1c401870ce|e1aytxihy261e|2.5D Geometry Class|Add support for 2.5d geometry classes for area unification both visual and physical. |1617062400000|1618185600000|1611716252000|1629867600000|1|1|||SC,SQ42
2|dfce3b7d-0628-54db-ac70-3cb1c119a2cb|qyy206nmvogfb|890 Jump Mission Update|Update the Origin 890 Jump missions to support body dragging. This will enable the player to drag an unconscious NPC into a ship in the cargo hold to extract them. Includes both lawful and unlawful mission variants.|1609718400000|1623974400000|1608567374000|1629867600000|1|1|||SC
3|e834872d-f52c-59ee-8c56-baa2d96e73b2|sszqya69jci4s|Achievement Service|This service is responsible for the lifecycle and management of Game Achievements.|1629244800000|1644969600000|1611715233000|1629867600000|1|1|||SC
4|5100d8ca-6046-5ff2-b927-a91f53d90187|50p1qccyij9ay|Aciedo Station|Aciedo is a station created by Aciedo CommRelay, a Human corporation that manufactures and maintains interstellar communications equipment.|1614556800000|1632873600000|1608651688000|1629867600000|5|6|||SQ42
5|6f533924-a6d1-5adf-8f91-0f4ec37da5a1|mpn4648rn5dke|Actor Status T2|Actor Status Tier 2 looks at a variety of new elements such as hygiene, NPC status tracking, multiple bites, DNA integrity, medical insurance, cybernetic limbs and cloning.|1649030400000|1657238400000|1614048647000|1629867600000|2|1|||SC,SQ42
6|12fb985a-9aa8-5b14-abdf-ab3cec9847bf|i8lk92w7vy7mf|Adapt Spawn Closets to Support Persistent NPC Spawning|Tasks to update the Spawn Closet feature to work with the NPC scheduler service.|1624924800000|1628467200000|1608323230000|1629867600000|1|1|||SC
7|2ee23ab9-da7c-5962-8755-6b2b1a1c0082|87bzsnuy5led2|Aegis Gladius Gold Standard|Implementing, polishing, and optimizing all features required to bring the Aegis Gladius up to gold standard.|1610928000000|1615507200000|1608324345000|1629867600000|1|1|||SC,SQ42
8|04524e49-b508-5d08-89a8-f0d802223797|8zll1laek9mwr|Aegis Idris|Crafted by Aegis Dynamics, the Idris is the standard frigate used by the United Empire of Earth Navy (UEEN).|1614556800000|1632960000000|1608591465000|1629867600000|1|1|||SQ42
9|ca1fef9f-df74-5bda-a496-6003a7a7a20c|dkigidv85x2lg|Aegis Javelin Destroyer|Encompasses all tasks, including design, art, audio, and tech required for the implementation of the Aegis Javelin Destroyer.|1610928000000|1616716800000|1618799413000|1629867600000|3|2|||SC,SQ42
10|d95f1992-ed5a-5feb-9efa-ffd00202d9be|ghxuoc2lsveha|Aegis Redeemer|Encompasses all tasks, including design, art, audio, and tech, required for the implementation of the Aegis Redeemer gunship into the PU.|1610928000000|1633046400000|1629831434000|1629867600000|2|4||1|SC,SQ42
11|490a9ab9-b6a6-5086-814d-80d6bfbe1911|v1jqgsai92o1c|Aegis Retaliator Gold Standard|Implementing, polishing, and optimizing all features required to bring the Aegis Retaliator up to gold standard.|1609718400000|1625184000000|1608323947000|1629867600000|2|2|||SC,SQ42
12|41f8949a-5ebf-55ce-b7d2-f343949789b5|wmrdhc8v3u5ng|Aerodynamic Control Surfaces|Ships with control surfaces will be able to use them in atmospheres to aid their maneuverability. This will allow for improved performance from ships that have weak maneuvering thrusters in atmosphere, and bring new depth to aerodynamic flight in the game.|1652486400000|1656028800000|1628644587000|1629867600000|1|1|||SC
13|b1d0a5a8-139d-588c-856b-d2d143830004|uyxipjj3dgy9t|AI - Dancing|Dancing is a segment of our new civilian AI leisure behavior. After work, some civilians will have the urge to spend time at a nightclub and dance the night away. This will bring new life and movement to our bars.|1625184000000|1626393600000|1626278185000|1629867600000|1|1|||SC,SQ42
14|6c9aa672-5ba3-5049-b7e6-94afb8151f38|4vj9h90xhev8g|AI - Ground Vehicles|This is the first pass on supporting NPCs controlling and driving ground vehicles. This requires the implementation of a new pathfollower that can take care of the vehicle's physical abilities to transform the NPCs movement request into actual movement.|1626393600000|1631145600000|1627486371000|1629867600000|1|1|||SC
15|ecee59a0-0aeb-52a5-929f-460b38a0c5a3|vigi7e0mgr6fg|AI - Hawker|Encompasses all tasks for implementing the Hawker NPC type into the persistent universe.|1617580800000|1620259200000|1617824716000|1629867600000|2|2|||SC
16|95eaab12-f638-520e-b58e-7fae61266b06|0ew6itfmw7t95|AI - Illegal Goods Dealer|The &lsquo;Goods Dealer&rsquo; is a new roaming &lsquo;Vendor&rsquo; AI behaviour that brokers illegal products, located mostly wandering around shadowy and secretive areas, this dealer trades without a license or permission and is always on the lookout for security. |1620345600000|1632355200000|1626278577000|1629867600000|3|3|||SC
17|544658ab-d216-5c34-b388-40331e5dbbc3|e97z56j5onr8t|AI - Janitor|Encompasses all tasks for implementing the Janitor NPC type into the persistent universe.|1619136000000|1623888000000|1617824626000|1629867600000|3|2|||SC,SQ42
18|9cd1632b-4021-5011-a620-27f59eb0775b|qkqc94d0h7c3s|AI - Leisure|The leisure behavior is a segment of our new civilian behavior system, controlling how the AI behaves when they have free time during their schedule. AI will create a lifelike environment by relaxing and having fun, using the things that are available to them, such as exercise equipment, jogging routes, TV monitors, seats/benches, and their mobiGlas.|1628812800000|1631404800000|1626278163000|1629867600000|2|2|||SC,SQ42
19|20f35a62-ec55-538b-aa6e-eca11d444a14|si5i2wv4cow7k|AI - Medical|Implementing a variety of medical AI behaviors. A patient will arrive at the hospital and check themselves in at a terminal then wait to be seen called to a room for a diagnosis. The patient can then see doctors and nurses tending to sick and injured people. Other patients will wait to be called. Doctors and nurses can be seen washing their hands, checking medical stock and dispensing medicine. Some patients will be asleep in medical beds.|1628467200000|1632009600000|1628651189000|1629867600000|2|3||2|SC,SQ42
20|575444df-bee4-52a1-8faa-c241c26f5cac|j8gi3ozzvt6jv|AI - Navigation Links - Ladders/Ledge Grab|Implementing special adapters to allow the navigation system to be informed of potential navmesh connections offered by ladders or ledge grab markup. The navigation links already allowed the creation of adapters that contain gamecode specific functionality to function as sort of translators between system-specific domain into the navigation system.|1628812800000|1629936000000|1626277713000|1629867600000|1|1|||SC,SQ42
21|c29bdb4e-0704-569d-ae62-009dc3a058eb|ghsh7sp3lflvf|AI - Off Duty Activities - Hygiene|The sleeping behavior is a segment of our new civilian behavior system, making the AI feel more realistic by scheduling toilet breaks, sometimes washing hands, and increasing hygiene values by taking daily showers.|1617926400000|1628726400000|1618972342000|1629867600000|2|1|||SC,SQ42
22|b0ae7b4d-7f20-55a1-807c-f6ec3243d739|7z4iivhbm4n5q|AI - Off Duty Activities - Sleeping|The sleeping behavior is a segment of our new civilian behavior system, controlling how the AI sleeps, relaxes, and socializes in bed. We will support single beds, bunk beds and beds with privacy shutters in this first iteration.|1616716800000|1631145600000|1618972325000|1629867600000|2|1|||SC,SQ42
23|9b38e427-85c3-50b7-8452-04f1d05b2514|3awo94sem3ynx|AI - Planetary Navigation|First pass at a system that allows NPCs to move on planetary surfaces using a dynamically generated navigation mesh. This will efficiently process planetary terrain and objects to prioritize the processing of the environment around the players into navmesh, allowing us to use all the existing functionalities on planets.|1620345600000|1631145600000|1621455588000|1629867600000|1|1|||SC
24|2c1b7cfb-cc6b-5656-b3ec-4b43dc9de856|yy640x1bb91gl|AI - Trolley Push &amp; Pull|This will be the first pass on implementing the ability for NPCs to use trolleys and trolley-like entities. They will be able to move in the environment pushing and pulling those entities to place them from/to specific locations. This requires the creation of a special pathfollower that can take into consideration external forces that needs to be balanced to achieve the desired speed.|1620345600000|1623888000000|1626277739000|1629867600000|1|1|||SC,SQ42
25|ff12a172-7ae4-573d-b9e3-5edd93223746|zips3284dxi5m|AI - Turret Gunner|Encompasses all tasks for implementing the Turret Gunner NPC type into the persistent universe.|1620604800000|1621123200000|1617824683000|1629867600000|1|1|||SC,SQ42
26|1e512b05-ccb6-5488-b515-dc6b143026b4|tpbm5w1b4ght9|AI - Unmanned Missile Turrets|Adding AI controlled missile turrets to improve defense of green zones.|1626393600000|1628726400000|1626278058000|1629867600000|1|1|||SC
27|5a28a84f-a183-5940-a2ad-731dbceaa2ab|bku4rtuqkyftw|AI - Untrained Combat|First iteration for untrained characters (such as civilians) to react in battle scenarios. Civilian AI will be able to use weapons to defend themselves in threatening situations, and will try to preserve their lives using cover or surrendering when necessary.|1616716800000|1632873600000|1621427028000|1629867600000|2|2|||SC,SQ42
28|092e8938-5094-526a-9dcc-541718b6fa5d|yq9axpywqqscy|AI EVA Tech|AI will be able to navigate via EVA in open space to appropriate points of interest and will allow the AI to transition from seat to EVA when requested or when appropriate.|1616716800000|1622678400000|1617826720000|1629867600000|1|1|||SC,SQ42
